,Year,Population,Violent,Robbery
0,1960,179323175,288460,107840
1,1961,182992000,289390,106670
2,1962,185771000,301510,110860
3,1963,188483000,316970,116470
4,1964,191141000,364220,130390
5,1965,193526000,387390,138690
6,1966,195576000,430180,157990
7,1967,197457000,499930,202910
8,1968,199399000,595010,262840
9,1969,201385000,661870,298850
10,1970,203235298,738820,349860
11,1971,206212000,816500,387700
12,1972,208230000,834900,376290
13,1973,209851000,875910,384220
14,1974,211392000,974720,442400
15,1975,213124000,1039710,470500
16,1976,214659000,1004210,427810
17,1977,216332000,1029580,412610
18,1978,218059000,1085550,426930
19,1979,220099000,1208030,480700
20,1980,225349264,1344520,565840
21,1981,229146000,1361820,592910
22,1982,231534000,1322390,553130
23,1983,233981000,1258090,506570
24,1984,236158000,1273280,485010
25,1985,238740000,1328800,497870
26,1986,240132887,1489169,542775
27,1987,242282918,1483999,517704
28,1988,245807000,1566220,542970
29,1989,248239000,1646040,578330
30,1990,248709873,1820130,639270
31,1991,252177000,1911770,687730
32,1992,255082000,1932270,672480
33,1993,257908000,1926020,659870
34,1994,260341000,1857670,618950
35,1995,262755000,1798790,580510
36,1996,265228572,1688540,535590
37,1997,267637000,1634770,498534
38,1998,270296000,1531044,446625
39,1999,272690813,1426044,409371
40,2000,281421906,1425486,408016
41,2001,285317559,1439480,423557
42,2002,287973924,1423677,420806
43,2003,290690788,1383676,414235
44,2004,293656842,1360088,401470
45,2005,296507061,1390745,417438
46,2006,299398484,1418043,447403
47,2007,301621157,1408337,445125
48,2008,304374846,1392628,443574
49,2009,307006550,1325896,408742
50,2010,309330219,1251248,369089
51,2011,311587816,1206031,354772
52,2012,313914040,1214464,354522
