STATION,STATION_NAME,DATE,TMAX,TMIN
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750122,40,21
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750123,37,24
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750124,41,23
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750125,51,29
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750126,43,28
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750127,29,19
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750128,38,26
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750129,65,32
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750130,65,29
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750131,35,29
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750201,37,32
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750202,34,28
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750203,40,27
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750204,39,28
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750205,39,32
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750206,43,29
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750207,30,10
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750208,27,10
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750209,28,6
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750210,10,-3
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750211,33,2
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750212,37,27
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750213,32,19
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750214,28,18
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750215,36,23
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750216,51,34
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750217,45,35
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750218,51,34
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750219,37,31
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750220,33,24
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750221,46,19
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750222,54,30
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750223,54,41
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750224,55,31
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750225,37,28
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750226,44,32
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750227,42,25
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750228,40,25
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750301,41,21
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750302,31,17
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750303,27,14
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750304,33,20
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750305,40,20
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750306,49,17
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750307,53,37
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750308,52,28
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750309,33,19
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750310,37,19
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750311,34,28
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750312,47,30
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750313,47,27
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750314,35,21
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750315,34,14
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750316,42,13
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750317,43,34
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750318,55,38
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750319,60,40
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750320,58,38
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750321,64,39
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750322,74,44
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750323,54,41
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750324,66,41
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750325,60,30
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750326,31,23
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750327,39,23
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750328,35,24
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750329,49,34
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750330,40,26
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750331,31,15
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750401,58,30
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750402,63,37
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750403,69,23
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750404,39,23
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750405,43,25
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750406,46,29
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750407,49,28
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750408,52,29
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750409,55,31
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750410,53,34
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750411,55,36
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750412,50,29
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750413,53,30
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750414,55,33
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750415,46,37
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750416,51,34
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750417,51,38
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750418,78,49
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750419,74,44
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750420,57,39
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750421,50,33
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750422,57,34
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750423,75,47
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750424,65,47
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750425,69,57
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750426,59,43
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750427,61,42
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750428,56,37
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750429,74,46
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750430,77,52
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750501,69,54
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750502,64,43
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750503,70,53
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750504,64,50
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750505,67,47
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750506,79,49
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750507,78,52
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750508,68,49
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750509,72,51
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750510,76,50
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750511,77,51
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750512,78,54
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750513,67,46
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750514,71,47
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750515,74,51
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750516,74,48
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750517,70,50
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750518,78,52
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750519,84,60
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750520,86,62
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750521,90,69
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750522,88,64
GHCND:USC00124272,INDIANAPOLIS SE SIDE IN US,19750523,82,65
